Sample	Color	State
AMNH_123030	White	Colorado
AMNH_129296	White	North_Dakota
AMNH_40312	White	oregon
AMNH_90911	White	North_Dakota
DMNS_1179	Brown	Colorado
DMNS_16612	Brown	Colorado
DMNS_1679	Brown	Colorado
DMNS_1704	Brown	Colorado
DMNS_1705	Brown	Colorado
DMNS_1775	Brown	Colorado
DMNS_1776	Brown	Colorado
DMNS_18790	White	Colorado
DMNS_18791	White	Colorado
DMNS_18792	White	Colorado
DMNS_18793	Brown	Colorado
DMNS_18794	White	Colorado
DMNS_18795	White	Colorado
DMNS_18796	White	Colorado
DMNS_18797	White	Colorado
DMNS_18798	White	Colorado
DMNS_18799	White	Colorado
DMNS_18800	White	Colorado
DMNS_18801	White	Colorado
DMNS_18802	White	Colorado
DMNS_18803	White	Colorado
DMNS_18804	White	Colorado
DMNS_18805	White	Colorado
DMNS_18806	White	Colorado
DMNS_18807	White	Colorado
DMNS_18808	Brown	Colorado
DMNS_2245	White	Colorado
DMNS_3109	White	Colorado
DMNS_3112	Brown	Colorado
DMNS_3114	Brown	Colorado
DMNS_3115	Brown	Colorado
DMNS_3120	White	Colorado
DMNS_3122	Brown	Colorado
DMNS_3128	Brown	Colorado
DMNS_3129	Brown	Colorado
DMNS_3132	Brown	Colorado
DMNS_3133	Brown	Colorado
DMNS_3134	Brown	Colorado
DMNS_3135	Brown	Colorado
DMNS_3138	White	Colorado
DMNS_3141	White	Colorado
DMNS_3146	White	Colorado
DMNS_3163	White	Colorado
DMNS_3168	Brown	Colorado
DMNS_3182	Brown	Colorado
DMNS_4070	Brown	Colorado
DMNS_4086	Brown	Colorado
DMNS_4087	Brown	Colorado
DMNS_4088	Brown	Colorado
DMNS_4089	Brown	Colorado
DMNS_4312	White	Colorado
DMNS_4313	White	Colorado
DMNS_4319	White	Colorado
DMNS_5676	Brown	Colorado
DMNS_5677	Brown	Colorado
DMNS_5678	White	Colorado
DMNS_5679	White	Colorado
DMNS_5680	Brown	Colorado
DMNS_5681	Brown	Colorado
DMNS_5682	Brown	Colorado
UCM_1194	Brown	Colorado
UCM_1195	Brown	Colorado
UCM_13092	Brown	Colorado
UCM_13094	Brown	Colorado
UCM_7879	Brown	Colorado
UCM_7888	Brown	Colorado
UCM_7894	White	Colorado
UCM_7908	Brown	Colorado
UCM_7920	White	Colorado
UMNH_23776	White	Colorado
UMNH_23777	White	Colorado
UMNH_23778	White	Colorado
UMNH_23779	White	Colorado
UMNH_23784	White	Colorado
UMNH_23789	White	Colorado
UMNH_23790	White	Colorado
UMNH_23804	White	Colorado
UMNH_23805	White	Colorado
UMZM_12459	White	Montana
UMZM_14068	White	North_Dakota
UMZM_15352	White	Montana
UMZM_15683	White	Montana
UMZM_15911	White	Montana
UMZM_16871	White	Montana
UMZM_19000	White	Montana
UMZM_3610	White	Montana
UMZM_426	White	Montana
UMZM_5186	White	Minnesota
