SAMPLE_NAME	Spec1	State
DMNS_1679	-10.45297869	Colorado
DMNS_3129	-6.78526286	Colorado
DMNS_3112	-5.781339052	Colorado
DMNS_3133	-6.99116262	Colorado
DMNS_3134	-5.090308044	Colorado
DMNS_4089	-5.928546909	Colorado
DMNS_3182	-5.023689593	Colorado
DMNS_1704	-5.726714632	Colorado
DMNS_3168	-4.303933005	Colorado
DMNS_1776	-5.150064604	Colorado
DMNS_18808	-4.105736022	Colorado
DMNS_1775	-3.360337274	Colorado
DMNS_1179	-4.931152701	Colorado
DMNS_1705	-3.264657223	Colorado
DMNS_4088	-3.861122825	Colorado
DMNS_4087	-2.519781206	Colorado
DMNS_3132	-3.10505997	Colorado
DMNS_18790	-1.360907324	Colorado
DMNS_4070	-4.069640042	Colorado
DMNS_18793	-2.801046663	Colorado
DMNS_5681	-2.31749947	Colorado
DMNS_5676	-1.973640564	Colorado
DMNS_18795	-1.108562808	Colorado
DMNS_5680	-0.573928351	Colorado
DMNS_3122	-1.440979241	Colorado
DMNS_18805	0.827717036	Colorado
DMNS_3138	0.478877607	Colorado
DMNS_18794	0.195998005	Colorado
DMNS_4086	0.078268842	Colorado
DMNS_3114	-1.235190193	Colorado
DMNS_18802	1.174338976	Colorado
DMNS_3109	-0.46050289	Colorado
DMNS_5679	0.694169137	Colorado
DMNS_18807	0.788772558	Colorado
DMNS_18796	1.707390446	Colorado
DMNS_5682	0.623423675	Colorado
DMNS_18792	0.255303345	Colorado
DMNS_3135	1.248758424	Colorado
DMNS_18791	0.352126998	Colorado
DMNS_3128	1.422128817	Colorado
DMNS_3115	0.671846584	Colorado
DMNS_5677	2.805550048	Colorado
DMNS_18804	2.415463734	Colorado
DMNS_18801	3.769260715	Colorado
DMNS_3141	3.814839519	Colorado
DMNS_18803	3.093786647	Colorado
DMNS_5678	3.71641267	Colorado
DMNS_18797	2.935985613	Colorado
DMNS_18800	4.71546494	Colorado
DMNS_3146	3.915234669	Colorado
DMNS_3163	5.770877174	Colorado
DMNS_18806	6.291176155	Colorado
DMNS_18799	6.233065993	Colorado
DMNS_18798	8.103808646	Colorado
DMNS_4312	6.722705469	Colorado
DMNS_2245	7.389663688	Colorado
DMNS_4313	9.450867412	Colorado
DMNS_4319	10.27760986	Colorado
DMNS_3120	10.61412271	Colorado
