Species No. 	 Folder 	 File 	 Date 	 Time 	B1 	 B2 	 B3 	 S1R 	 S1G 	 S1B 	 S1U 	 S1y 	 S1v 	 S2 	 S3 	 S5a 	 S5b 	 S5c 	 S6 	 S7 	 S8 	 S9 	 H1 	 H3 	 H4a 	 H4b 	 H4c
"LTW1 - LTW3"	"DMNS_1179"	"DMNS_1179_DH_Transmission_11-54-07-338"	"Wed Jan 15 11:54:07 MST 2020"	"Wed Jan 15 11:54:07 MST 2020"	"93.9534877776333"	"0.234883719444083"	"0.457666666666667"	"0.403765413994536"	"0.297712760684323"	"0.210494332189919"	"0.0880274931312224"	"0.263943249744585"	"0.109709515958177"	"15.4791431792559"	"0.422419395960747"	"17.9256139206306"	"27.427640064408"	"30.0900172060246"	"0.4281"	"-0.382614510945182"	"1.82260397192796"	"-0.597320223934991"	"697"	"514"	"0.781090436107475"	"0.743176891246837"	"0.739250830331765"
"LTW4 - LTW6"	"DMNS_1179"	"DMNS_1179_DL_Transmission_11-55-18-318"	"Wed Jan 15 11:55:18 MST 2020"	"Wed Jan 15 11:55:18 MST 2020"	"224.701386666767"	"0.561753466666917"	"0.712306666666667"	"0.287160078248907"	"0.268711517321922"	"0.278583067934066"	"0.165545336495105"	"0.217588159273983"	"0.200399631119232"	"6.1961261888193"	"0.301944944730069"	"9.10977514829877"	"21.7382340726079"	"28.3119120708985"	"0.597346666666667"	"-0.835316162416279"	"1.0633608906963"	"-0.156054068464341"	"697"	"360"	"0.91884048732226"	"1.10522215428628"	"1.15891534504356"
"LTW7 - LTW9"	"DMNS_1179"	"DMNS_1179_DM_Transmission_11-54-43-321"	"Wed Jan 15 11:54:43 MST 2020"	"Wed Jan 15 11:54:43 MST 2020"	"86.7987477777667"	"0.216996869444417"	"0.422366666666667"	"0.404894653305918"	"0.298614855849405"	"0.208277102256737"	"0.0882133885879393"	"0.264774288282457"	"0.109601177938155"	"14.0788888888889"	"0.423575337549791"	"16.7789008015171"	"25.6324928576111"	"28.0546381750564"	"0.392366666666667"	"-0.376256208918858"	"1.808167406614"	"-0.608312990916488"	"697"	"516"	"0.787701844739445"	"0.740358620651019"	"0.733794155379007"
"LTW10 - LTW12"	"DMNS_1179"	"DMNS_1179_FL_Transmission_11-57-37-305"	"Wed Jan 15 11:57:37 MST 2020"	"Wed Jan 15 11:57:37 MST 2020"	"278.332299444533"	"0.695830748611333"	"0.913046666666667"	"0.297449041023469"	"0.274129978355022"	"0.275338747316097"	"0.153082233305413"	"0.223322254696088"	"0.186705106702942"	"7.14061522419187"	"0.312591468528569"	"14.4530078189096"	"32.7627217362046"	"41.2088172165831"	"0.78518"	"-0.81196350511799"	"1.12840658675544"	"-0.202227280365408"	"697"	"371"	"0.926841825239362"	"1.07756409159803"	"1.11945720906965"
"LTW13 - LTW15"	"DMNS_1179"	"DMNS_1179_FM_Transmission_11-56-56-317"	"Wed Jan 15 11:56:56 MST 2020"	"Wed Jan 15 11:56:56 MST 2020"	"111.276924444433"	"0.278192311111083"	"0.4817388889"	"0.36643959486343"	"0.28658607187355"	"0.227282836277789"	"0.119691496985231"	"0.248168343417776"	"0.145197803414024"	"7.36303579936825"	"0.383729552713533"	"16.2780644783004"	"25.3444602227677"	"28.0578718697635"	"0.416312222233333"	"-0.361432237443355"	"1.49649075695373"	"-0.51096321216997"	"696"	"499"	"0.794306535499191"	"0.76270960427732"	"0.766209204169681"
"LTW16 - LTW18"	"DMNS_1179"	"DMNS_1179_FS_Transmission_11-56-13-313"	"Wed Jan 15 11:56:13 MST 2020"	"Wed Jan 15 11:56:13 MST 2020"	"89.0252472222667"	"0.222563118055667"	"0.40784"	"0.377324098043035"	"0.283485399537549"	"0.220180891881091"	"0.119009610538324"	"0.248697540201034"	"0.143803494695206"	"7.87437250611404"	"0.394813818265651"	"14.3051298425457"	"21.3128452178484"	"23.3827771011035"	"0.356046666666667"	"-0.265911951507007"	"1.59975592441877"	"-0.545611195237847"	"697"	"521"	"0.747078467825372"	"0.707538648700164"	"0.710899294460796"
"LTW19 - LTW21"	"DMNS_1179"	"DMNS_1179_V_Transmission_11-58-26-306"	"Wed Jan 15 11:58:26 MST 2020"	"Wed Jan 15 11:58:26 MST 2020"	"209.4136355556"	"0.523534088889"	"0.632713333333333"	"0.279616998515616"	"0.273352384694334"	"0.291295079734532"	"0.155735537055519"	"0.21836407320426"	"0.191224088920583"	"8.09303317131406"	"0.294270358241653"	"5.58561429582903"	"20.9170015656098"	"28.2735052063756"	"0.554533333333333"	"-0.88144202453295"	"1.0592115109641"	"-0.0634867726631334"	"697"	"351"	"1.20052585293166"	"1.33009681916861"	"1.33655333248699"
"LTW22 - LTW24"	"DMNS_1679"	"DMNS_1679_DH_Transmission_15-05-02-441"	"Wed Jan 15 15:05:02 MST 2020"	"Wed Jan 15 15:05:02 MST 2020"	"66.2208666668"	"0.165552166667"	"0.313286666666667"	"0.389166338640209"	"0.281663651504548"	"0.204388521039784"	"0.124781488815459"	"0.250958979362495"	"0.147508262752732"	"5.3694012797075"	"0.406935762779392"	"12.1212989661246"	"17.1599817944074"	"18.4182949541969"	"0.25494"	"-0.156383436038476"	"1.53993756247721"	"-0.603529908640274"	"697"	"546"	"0.73547149032241"	"0.642222973186006"	"0.623419899523438"
"LTW25 - LTW27"	"DMNS_1679"	"DMNS_1679_DL_Transmission_15-06-44-439"	"Wed Jan 15 15:06:44 MST 2020"	"Wed Jan 15 15:06:44 MST 2020"	"91.4648044444667"	"0.228662011111167"	"0.363266666666667"	"0.333628512650395"	"0.275852257390645"	"0.246332566246065"	"0.144186663712895"	"0.232639503204601"	"0.173293797866882"	"6.86531435051027"	"0.349692105004385"	"9.44393710742098"	"15.3147955359247"	"17.509909383624"	"0.310353333333333"	"-0.457466578158356"	"1.35725795389096"	"-0.405979296391601"	"697"	"461"	"0.785815254030518"	"0.802103756352278"	"0.830632894826135"
"LTW28 - LTW30"	"DMNS_1679"	"DMNS_1679_DM_Transmission_15-05-35-438"	"Wed Jan 15 15:05:35 MST 2020"	"Wed Jan 15 15:05:35 MST 2020"	"62.7815149999667"	"0.156953787499917"	"0.292886666666667"	"0.388832675421202"	"0.298163170410005"	"0.216276585021465"	"0.0967275691473288"	"0.261109730218765"	"0.119234777943858"	"12.7415893271462"	"0.407344281371891"	"10.9510251104218"	"17.1146645470698"	"18.8417679702237"	"0.2699"	"-0.399470953618221"	"1.7196144438384"	"-0.574648963606839"	"697"	"505"	"0.819148845075753"	"0.773387611772155"	"0.766209548975282"
