Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSOCUG00000038447	1	67821954	67828966
ENSOCUG00000025999	11	84957233	84957341
ENSOCUG00000020206	16	69998437	69998586
ENSOCUG00000019764	11	85188702	85188864
ENSOCUG00000037324	5	10608562	10627977
ENSOCUG00000038976	7	160124184	160125377
ENSOCUG00000034226	14	109569736	109606201
ENSOCUG00000029766	12	3299401	3306646
ENSOCUG00000036209	14	109771523	109792622
ENSOCUG00000028619	17	54356167	54356273
ENSOCUG00000010950	3	442600	454640
ENSOCUG00000004445	4	37009625	37009870
ENSOCUG00000032328	3	47745586	47752601
ENSOCUG00000033428	GL018927	187625	221568
ENSOCUG00000035407	GL018772	837559	840008
ENSOCUG00000031662	GL018719	2919488	2987512
ENSOCUG00000032549	GL019808	2564	3727
ENSOCUG00000030996	AAGW02083827	231	5433
ENSOCUG00000031857	GL019808	12638	15366
ENSOCUG00000024896	19	29605213	29605376
ENSOCUG00000025615	3	56611417	56613406
ENSOCUG00000037900	GL018719	3038024	3084271
ENSOCUG00000033783	GL018772	883509	891015
ENSOCUG00000029037	GL018752	1873283	1909336
ENSOCUG00000030542	4	27337448	27338817
ENSOCUG00000029315	11	85218424	85219920
ENSOCUG00000038796	GL018706	109278	109679
ENSOCUG00000024592	17	43997182	44004728
ENSOCUG00000024163	19	29608324	29608487
ENSOCUG00000032912	GL018772	1095072	1096246
ENSOCUG00000034935	GL019809	3134	10414
ENSOCUG00000026335	1	146132020	146132970
ENSOCUG00000031629	GL019809	3134	10414
ENSOCUG00000031803	GL018772	1109269	1111841
ENSOCUG00000002572	GL019021	241782	242552
ENSOCUG00000035560	AAGW02083842	21	5384
ENSOCUG00000036539	GL018772	1224752	1225810
ENSOCUG00000028118	2	59517952	59750601
ENSOCUG00000001422	4	37022390	37030776
ENSOCUG00000030706	GL018719	3391617	3393878
ENSOCUG00000033412	GL018876	268869	270548
ENSOCUG00000007983	9	19523619	19526183
ENSOCUG00000034067	1	75881566	75882851
ENSOCUG00000023527	11	85218530	85219920
ENSOCUG00000024118	GL019360	45780	48745
ENSOCUG00000025472	1	172633043	172633109
ENSOCUG00000038425	17	40242087	40243124
ENSOCUG00000016694	15	96975015	96975988
ENSOCUG00000031343	16	34618118	34619406
ENSOCUG00000001999	1	72131198	72165745
ENSOCUG00000029179	GL019021	250200	252517
ENSOCUG00000029268	GL018706	124034	126361
ENSOCUG00000030010	GL018772	1237306	1385826
ENSOCUG00000036455	1	193384308	193386436
ENSOCUG00000022800	21	3221869	3230810
ENSOCUG00000032298	AAGW02083842	21	5384
ENSOCUG00000024007	7	160131267	160134358
ENSOCUG00000000766	17	40268509	40269471
ENSOCUG00000014818	GL019132	18167	122359
ENSOCUG00000028773	GL019021	251176	251250
ENSOCUG00000024747	GL019810	12489	14045
ENSOCUG00000033462	GL018772	1307285	1315947
ENSOCUG00000006103	12	38737905	38750011
ENSOCUG00000021944	13	13349000	13362324
ENSOCUG00000035437	AAGW02083855	2950	4546
ENSOCUG00000024365	7	16706437	16709477
ENSOCUG00000030042	GL018772	1369701	1373407
ENSOCUG00000025691	13	37676468	37683949
ENSOCUG00000039099	GL018706	178331	180244
ENSOCUG00000019806	17	79337702	79337806
ENSOCUG00000029912	AAGW02083877	479	5106
ENSOCUG00000031223	1	135092643	135453243
ENSOCUG00000032129	5	1478019	1550804
ENSOCUG00000008260	GL018734	575876	593968
ENSOCUG00000028012	17	81238608	81238699
ENSOCUG00000014406	GL018719	3594625	3697685
ENSOCUG00000030766	GL018772	1392548	1394326
ENSOCUG00000036469	1	67912118	67937848
ENSOCUG00000037627	GL019360	47981	55446
ENSOCUG00000001426	4	37031553	37041034
ENSOCUG00000028661	GL019813	5544	5607
ENSOCUG00000007720	GL018752	1881981	1893852
ENSOCUG00000007781	19	19756666	19770410
ENSOCUG00000016033	7	160141738	160152501
ENSOCUG00000036024	GL018706	182947	224078
ENSOCUG00000030244	GL019022	2776	3714
ENSOCUG00000035445	GL018734	595753	597255
ENSOCUG00000025935	GL018719	3666250	3666352
ENSOCUG00000029775	13	127793395	127825465
ENSOCUG00000034644	12	124133489	124133945
ENSOCUG00000039374	7	160154575	160157559
ENSOCUG00000012762	AAGW02083887	1304	5226
ENSOCUG00000006344	7	16709498	16717149
ENSOCUG00000014763	X	30431427	30467801
ENSOCUG00000038349	2	83808023	83826814
ENSOCUG00000004199	13	106785817	106831766
ENSOCUG00000030336	GL019022	36602	38114
ENSOCUG00000029463	GL018772	1400099	1412541
ENSOCUG00000003051	14	109907236	109908798
ENSOCUG00000007852	15	97043320	97045131
ENSOCUG00000035037	GL018734	608944	609150
ENSOCUG00000022434	8	32869677	32874107
ENSOCUG00000006299	GL018826	718961	735242
ENSOCUG00000000865	GL018876	312451	325325
ENSOCUG00000036506	GL019022	40831	43831
ENSOCUG00000009837	9	64700845	64721514
ENSOCUG00000036099	7	16908352	16928131
ENSOCUG00000001552	7	156084643	156166801
ENSOCUG00000013007	GL019814	12722	17919
ENSOCUG00000007189	AAGW02083897	1774	4436
ENSOCUG00000017526	19	45608545	45625150
ENSOCUG00000029550	14	40019695	40054594
