Estimate(Beta)	Std.Error	Tvalue	Pvalue
(Intercept)	-7.04346270176524	0.859112579917549	-8.19853284239095	5.39870060340888e-11
top_SNPs$LTW_4_5424640	0.54350126567289	0.591571041172017	0.918742176081013	0.362392892719684
top_SNPs$LTW_8_79701598	3.14335206160876	0.747482436458655	4.20525206786263	0.00010086590132396
top_SNPs$LTW_2_36361155	1.83991088971641	0.683803102814459	2.69070275075316	0.00951651595389228
top_SNPs$PC1	4.50455153257883	3.22474088487771	1.39687239793521	0.168273776907783
top_SNPs$PC2	3.73992135169528	2.74496899658163	1.36246396820973	0.178813454240413
PVE_A	0.652847168715535	NA	NA	NA
(Intercept)1	-6.59053806393155	0.802608853939078	-8.21139466825743	3.95041290717386e-11
top_SNPs$LTW_4_54246401	0.307886087891654	0.579611155822503	0.53119420632052	0.597422989719745
top_SNPs$LTW_8_797015981	2.9295930745545	0.748887301266489	3.91192782892711	0.000254058707081448
top_SNPs$LTW_2_363611551	1.90379005858161	0.69280202145958	2.74795684713902	0.00809385304352679
PVE_B	0.641720915362838	NA	NA	NA
(Intercept)2	-0.142539006326945	0.584799484552254	-0.243739965735569	0.808322950823834
top_SNPs$PC11	-10.2083649343497	4.53181445447946	-2.25259993251914	0.0282218473076885
top_SNPs$PC21	3.39991610210384	4.50466842107721	0.754753909565404	0.453559150605014
PVE_C	0.0586427832023815	NA	NA	NA
(Intercept)3	-6.4820071708299	0.771177085366073	-8.40534203340978	1.67202736051758e-11
top_SNPs$LTW_8_797015982	3.14939790414004	0.620171580299545	5.07826866658235	4.52242735885189e-06
top_SNPs$LTW_2_363611552	1.92106137664387	0.687588900937212	2.79390981155365	0.0071160259494927
PVE_D	0.646313494793449	NA	NA	NA
(Intercept)4	-5.69142773628629	0.989662185959747	-5.75087925660906	4.26472042177135e-07
top_SNPs$LTW_8_797015983	2.5142710677522	0.789005306365716	3.18663391420437	0.00239340144151425
top_SNPs$LTW_2_363611553	1.16721757040739	0.838965590776833	1.39125797677425	0.169852877916569
top_SNPs$LTW_4_54246402	-0.896479728322674	0.97802476676763	-0.916622726524132	0.363416004222524
top_SNPs$LTW_2_36361155:top_SNPs$LTW_4_5424640	1.01171753265972	0.665909327035471	1.51930224068754	0.134520222315255
PVE_E	0.650045252660588	NA	NA	NA
