Estimate(Beta)	Std.Error	Tvalue	Pvalue
(Intercept)	-4.01006573223087	0.559335831217761	-7.16933460797663	2.40789289833979e-09
top_SNPs$LTW_4_5424640	0.543501265672885	0.591571041172018	0.918742176081004	0.362392892719689
top_SNPs$LTW_8_79701598	3.14335206160877	0.747482436458655	4.20525206786264	0.000100865901323957
top_SNPs$LTW_2_36361155	1.83991088971641	0.683803102814459	2.69070275075316	0.00951651595389221
top_SNPs$PC1	-4.50455153257884	3.22474088487771	-1.39687239793521	0.168273776907782
top_SNPs$PC2	-3.73992135169527	2.74496899658163	-1.36246396820973	0.178813454240413
PVE_A	0.652847168715534	NA	NA	NA
(Intercept)1	-3.69200037812397	0.523903399745942	-7.04710139295593	3.15797558110738e-09
top_SNPs$LTW_4_54246401	0.307886087891649	0.579611155822503	0.531194206320511	0.597422989719751
top_SNPs$LTW_8_797015981	2.92959307455451	0.748887301266489	3.91192782892712	0.000254058707081442
top_SNPs$LTW_2_363611551	1.90379005858161	0.69280202145958	2.74795684713902	0.00809385304352675
PVE_B	0.641720915362837	NA	NA	NA
(Intercept)2	0.142539006326945	0.584799484552254	0.243739965735569	0.808322950823834
top_SNPs$PC11	10.2083649343497	4.53181445447946	2.25259993251914	0.0282218473076885
top_SNPs$PC21	-3.39991610210384	4.50466842107721	-0.754753909565404	0.453559150605014
PVE_C	0.0586427832023815	NA	NA	NA
